"user_id","screen_name","text","is_retweet","favorite_count","retweet_count","hashtags","reply_to_screen_name","mentions_screen_name","retweet_screen_name"
"759251","CNN","It was 16 degrees and snowing heavily when Sen. Amy Klobuchar took the stage to announce her 2020 presidential bid.

“I would have liked to have seen [Trump] sitting here in the snow for an hour giving this speech,"" she told CNN. https://t.co/uq2zWGOvZy https://t.co/DHoQ5NFEn7",FALSE,1096,200,NA,NA,NA,NA
"759251","CNN","""What a great weekend for America."" Democratic Sen. Kirsten Gillibrand lauded Sens. Elizabeth Warren and Amy Klobuchar on Twitter after both senators officially kicked off their campaigns for the 2020 presidential race this weekend. https://t.co/gxXQBQQ748 https://t.co/Uwi6abnTx6",FALSE,616,140,NA,NA,NA,NA
"759251","CNN","Officer used Taser on man's genitals, says lawsuit accusing Arizona police of torture https://t.co/mu6uLH6eJD https://t.co/JRPT9wtkyP",FALSE,161,90,NA,NA,NA,NA
"759251","CNN","A migrant rescue ship was renamed in honor of Syrian boy Alan Kurdi. The disturbing image of his death showed to the world the dangers that Syrian refugees faced as they fled their country amid a devastating civil war. https://t.co/4w6fG34Bbo https://t.co/a4GmZpMEs4",FALSE,245,76,NA,NA,NA,NA
"759251","CNN","Rapper 21 Savage, who is nominated for two Grammy awards, will miss Sunday's show. He instead will be sitting in a detention facility, where he awaits immigration proceedings that will determine if the British-born rapper can stay in the country. https://t.co/9g8KAJRnfP https://t.co/c4V53nLKGB",FALSE,701,268,NA,NA,NA,NA
"759251","CNN","Virginia Gov. Ralph Northam refers to enslaved Africans as ""indentured servants from Africa"" https://t.co/yJpO0gRYBq https://t.co/1I3kq1R6Jm",FALSE,282,174,NA,NA,NA,NA
"759251","CNN","Did you join Facebook in 2004? It’s been 15 years! CNN’s Laurie Segall talks to company insiders. CNN Special Report: Facebook at 15 – It’s Complicated. Tonight at 9p ET https://t.co/ci5c9mDYwN",FALSE,262,70,NA,NA,NA,NA
"759251","CNN","Minnesota Democratic Sen. Amy Klobuchar jumped into the crowded field of Democrats running for president in 2020, pledging to ""lead from the heart"" during a snowy announcement in Minneapolis. https://t.co/41G7WhwPDF https://t.co/BzV7D3BQUM",FALSE,2417,506,NA,NA,NA,NA
"759251","CNN","“We must respect our frontline troops, diplomats, and intelligence officers … They deserve better than foreign policy by tweet,” Sen. Amy Klobuchar says as she officially launches 2020 presidential campaign https://t.co/tdAJEyLFUB https://t.co/ECaq2wrZmD",TRUE,0,265,NA,NA,"CNNnewsroom","CNNnewsroom"
"759251","CNN","BREAKING: Democratic Sen. Amy Klobuchar officially launches 2020 presidential bid https://t.co/qNQPYxPA1e https://t.co/g6bjFfxvts",FALSE,1062,270,NA,NA,NA,NA
"759251","CNN","Can Cory Booker's message of love and unity beat Trump in 2020? https://t.co/pUz5yTCiaI https://t.co/hpUGXrjwHJ",FALSE,325,51,NA,NA,NA,NA
"759251","CNN","A rabbi was worried no one would come to a 85-year-old Holocaust survivor's funeral. 

200 people showed up after he put out a call on Facebook. https://t.co/PwYjKL8IGa https://t.co/LWDjJ2f9wJ",FALSE,2079,360,NA,NA,NA,NA
"759251","CNN","Jill Abramson continues to claim that passages from her new book, ""Merchants of Truth,"" weren't plagiarized, but instead were improperly credited https://t.co/otjxY51a97 https://t.co/d5EiuMCL1U",FALSE,95,34,NA,NA,NA,NA
"759251","CNN","Denver teachers are set to strike Monday. 

Some tell CNN they’ve been living paycheck to paycheck and have taken on second jobs as ride-share drivers or waiters. Here are their stories. https://t.co/Yo662oxeEc https://t.co/AaXRR0ZXGi",FALSE,420,179,NA,NA,NA,NA
"759251","CNN","Sen. Elizabeth Warren said President Trump ""may not even be a free person,"" by 2020 https://t.co/LIu8qDvnA4 https://t.co/Gv2EPkR9uY",FALSE,999,225,NA,NA,NA,NA
"759251","CNN","A man allegedly drove his truck onto the sidewalk of a busy street, striking 9 pedestrians before hitting a tree, according to police. https://t.co/2WsRRbj6T1 https://t.co/HkG3RoTPC7",FALSE,129,83,NA,NA,NA,NA
"759251","CNN","Border security negotiations have not progressed through the weekend, fueling concern that a deal to avert another government shutdown won't come together, sources involved tell CNN. https://t.co/dAfef8wols https://t.co/RYBWOYh6gA",FALSE,155,56,NA,NA,NA,NA
"759251","CNN","""Saturday Night Live"" skewers Virginia politicians over blackface controversy https://t.co/Fr3z454QW2 https://t.co/eSnF2bcsW3",FALSE,229,36,NA,NA,NA,NA
"759251","CNN","Hundreds of cars got stranded in blizzard conditions on a Washington state highway as the area struggled to deal with near-record snowfall totals. https://t.co/CNhkJXcnR0",FALSE,225,75,NA,NA,NA,NA
"759251","CNN","An attorney representing American Media Inc. CEO David Pecker says his client did not engage in extortion or blackmail against Amazon founder Jeff Bezos. https://t.co/Oq6CjRZOtY https://t.co/uO72hBMSof",FALSE,140,51,NA,NA,NA,NA
